case,stratum,attempt,run,parsed,ref_verdict,ref_outcome,ref_next_agent,ref_adjust,llm_verdict,llm_outcome,llm_next_agent,llm_adjust,verdict_ok,outcome_ok,hop_ok,adjust_ok,reason
wrong_04,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity floor, Gate 2 and Gate 3 all definitively failed while Gates 1 and 1b passed (with the clone control valid), so the concept drifted from the style and is not a one-off sampling artifact. This is attempt 1 with retries remaining (0 of 2 used), so the critic sends back an adjusted ip_adapter_scale via the orchestrator to concept-designer."
wrong_04,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity floor, Gate 2 and Gate 3 all failed (Gates 1 and 1b passed, with the clone control valid), so the concept drifted from the style and the briefed changes are not visible. This is a systematic miss rather than a one-off seed artifact, and this is attempt 1 with the retry budget unspent, so the critic sends an adjusted ip_adapter_scale back to concept-designer via the orchestrator."
wrong_04,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all failed, while Gate 1 and Gate 1b passed. The concept sits too far from the references and lacks the style's visible attributes and the briefed changes. That is systematic drift rather than a one-off seed artifact, so the critic sends back an adjusted ip_adapter_scale. This is retry 0 of 2, so the orchestrator relays it to concept-designer."
wrong_05,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 definitively failed (Gates 1 and 1b passed and the clone control is valid), so the concept is rejected. This is attempt 1 with retries remaining (0 of 2 used). The failures are attribute-fidelity and briefed-change misses, not a single-seed integrity miss, so the critic sends back an adjusted ip_adapter_scale for the orchestrator to relay to concept-designer."
wrong_05,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitively failed, so this is a REJECT. Gates 1 and 1b passed and the clone control is valid, so no gate is unmeasured. This is attempt 1 of 3, with 2 retries left, so the critic sends back an adjusted ip_adapter_scale rather than a new seed. The three failures together point to a systematic drift from the style, not a one-off sampling artifact, and no sibling seeds are shown clearing the integrity floor."
wrong_05,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitively failed (Gates 1 and 1b passed and the clone control is valid), so the concept is a REJECT. It drifted from the style's attributes and the briefed changes, which points to a systematic problem rather than a one-off seed artifact. This is attempt 1 with 2 retries left, so the critic sends an adjusted ip_adapter_scale back to concept-designer via the orchestrator."
wrong_06,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitely failed, so the verdict is REJECT. Retry count is 0 of 2, so it is a RETRY. Gates 1 and 1b passed, but the concept is too far from the references (integrity), and the attributes and briefed changes are not visible. That is a systematic miss rather than a one-off seed artifact, so the critic sends back a different ip_adapter_scale, and the orchestrator relays it to concept-designer."
wrong_06,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitely failed while Gate 1 and 1b passed, so the concept is REJECTed. The concept drifted too far from the style's references, and the failures on three gates suggest a systematic problem rather than a one-off seed artifact, so the critic adjusts ip_adapter_scale. This is attempt 0 with 2 retries left, so the orchestrator relays the retry to concept-designer."
wrong_06,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity (global floor), Gate 2 and Gate 3 all failed, so the concept is not faithful to the style or the briefed changes. Gates 1 and 1b passed, so there is room to move closer to the references. Because several gates failed together, this is not a one-off sampling artifact, and the critic sends back an adjusted ip_adapter_scale (retry 1 of 2) instead of a new seed."
wrong_07,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitely failed (pass: false), and no gate is unmeasured, so this is a REJECT rather than INCONCLUSIVE. This is attempt 1 with retries remaining, so the orchestrator relays a retry to concept-designer. Failing attributes, briefed changes and the closest-reference floor together point to a systematic drift from the reference rather than a one-off seed artifact. Gate 1 and 1b pass with room to spare, so I raise ip_adapter_scale to tie the image closer to the reference."
wrong_07,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitively failed while Gates 1 and 1b passed and the clone control validated, so no gate is unmeasured. The concept is too far from the style's references and does not show the briefed attributes, which points to a systematic problem rather than a one-off seed artifact. This is attempt 0 of a 2-retry budget, so the critic sends an adjusted ip_adapter_scale back to concept-designer via the orchestrator."
wrong_07,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitively failed (Gates 1 and 1b passed, and the clone control was valid), so this is a REJECT rather than INCONCLUSIVE. It is attempt 1 with retries remaining, and the failures on attribute fidelity and briefed changes across several gates point to a systematic problem rather than a one-off sampling artifact, so the critic sends back an adjusted ip_adapter_scale, relayed to concept-designer via the orchestrator."
wrong_08,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity floor, Gate 2 (attribute fidelity) and Gate 3 (briefed changes) all failed, while Gates 1 and 1b passed with a validated clone control. The concept drifts too far from the references, and there is no sign of a one-off sampling artifact, so I am sending back a changed ip_adapter_scale. Retry count is 0 of 2, so the request is relayed to concept-designer and not escalated."
wrong_08,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity (global floor), Gate 2 and Gate 3 all failed while Gates 1 and 1b passed, so the concept drifts from the reference style and misses the briefed attributes rather than being a one-off sampling artifact. This is attempt 1 with retries remaining (0 of 2 used), so the critic sends an adjusted ip_adapter_scale back to concept-designer via the orchestrator, not a seed change, and the fresh attempt is scored again."
wrong_08,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitively failed, so this is a REJECT, and no gate is unmeasured, so it is not INCONCLUSIVE. Retry count is 0 of 2, so the critic sends back an adjusted ip_adapter_scale (the concept is drifting from the reference style and missing attributes, which is systematic rather than a one-off seed artifact) via the orchestrator to concept-designer."
wrong_09,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity (global floor), Gate 2 and Gate 3 all definitively failed, while Gates 1 and 1b passed and the clone control is valid. So the concept drifts too far from the references and the briefed attributes are not visible, which is a scale problem rather than a one-off seed artifact. This is attempt 0 of a 2-retry budget, so the critic sends an adjusted ip_adapter_scale back to concept-designer via the orchestrator."
wrong_09,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitively failed, while Gates 1 and 1b passed and the clone control was valid. This looks like a systematic drift from the style's attributes and briefed changes, not a one-off seed artifact, so the critic sends back an adjusted ip_adapter_scale. This is attempt 0 of a 2-retry budget, so retry rather than fail."
wrong_09,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity (global floor), Gate 2 and Gate 3 all definitively failed, so this is a REJECT with 0 of 2 retries used. Gates 1 and 1b pass with a validated clone control, so there is room to raise reference adherence via a different ip_adapter_scale. The failure is not an isolated integrity miss on one seed, so a seed change is not the right fix. The orchestrator relays the adjusted parameter to concept-designer."
wrong_10,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity (global floor), Gate 2 and Gate 3 all definitively failed, so this is a REJECT. Gate 1 and 1b passed, so the failure is not a copy of a reference. Retry count is 0 of 2, so the critic sends back a different ip_adapter_scale (a systematic drift from the reference and briefed attributes, not a one-off seed artifact), and the orchestrator relays it to concept-designer."
wrong_10,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitely failed, so the concept is rejected even though Gates 1 and 1b passed. This is attempt 1 with retries remaining, and the failures are systematic (too far from the references, attributes and briefed changes not visible) rather than a one-seed artifact, so the critic sends back a different ip_adapter_scale via the orchestrator to concept-designer."
wrong_10,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity (global floor), Gate 2 and Gate 3 all failed, so the concept is rejected. It is attempt 1 with retries left (0 of 2 used), so the critic sends back a changed ip_adapter_scale. Failing the floor together with Gate 2 and Gate 3 points to a systematic drift from the style, not a one-off seed artifact."
wrong_11,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity floor, Gate 2 and Gate 3 all measured and definitely failed (Gates 1 and 1b passed, with the clone control valid). The failures are not confined to one integrity-floor miss, so this is not a one-off seed artifact. It points to weak reference and attribute adherence, so the critic sends back an adjusted ip_adapter_scale (raised, to pull the image closer to the reference) with retries remaining (0 of 2 used). The orchestrator relays it to concept-designer, and any PASS would still need the human visual check."
wrong_11,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitely failed, while Gate 1 and Gate 1b passed and the clone control is valid, so nothing is unmeasured. Failing attribute fidelity and briefed changes alongside the integrity floor points to systematic drift from the style rather than a one-off sampling artifact, so I'm sending back an adjusted ip_adapter_scale. This is retry 1 of 2 and the cap has not been reached."
wrong_11,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity floor, Gate 2 and Gate 3 all definitively failed (Gates 1 and 1b passed, and the clone control is valid), so this is a REJECT with 0 of 2 retries used. Failing attribute fidelity and briefed changes points to a systematic miss, not a one-off seed artifact, so the critic sends back an adjusted ip_adapter_scale via the orchestrator to concept-designer."
wrong_12,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitively failed, while Gates 1 and 1b passed with the clone control valid, so no gate is unmeasured. Several gates failed together, which points to a systematic drift from the reference rather than a one-off seed artifact. This is attempt 0 of a 2-retry budget, so the critic sends a different ip_adapter_scale back to concept-designer through the orchestrator."
wrong_12,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity floor, Gate 2 and Gate 3 all definitively failed, so this is a REJECT. It is attempt 0 of a 2-retry cap, so the critic sends back an adjusted ip_adapter_scale (the failures point to a systematic drift from the references and briefed attributes, not a one-off seed artifact), and the orchestrator relays it to concept-designer."
wrong_12,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitively failed, and no gate is unmeasured (the clone control failed as required), so this is a REJECT. Retry 0 of 2 has been used, and the multi-gate miss (attributes and briefed changes not visible, and too far from any real reference) points to a systematic problem rather than a one-off seed artifact, so the critic sends back an adjusted ip_adapter_scale via the orchestrator to concept-designer."
wrong_13,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 (attribute fidelity) and Gate 3 (briefed changes visible) all definitively failed, so the concept is rejected. This is attempt 1 with retries remaining, and the Gate 2 and Gate 3 misses point to a systematic problem rather than a one-off sampling artifact, so the critic sends back a different ip_adapter_scale rather than a new seed."
wrong_13,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitively failed (Gates 1 and 1b passed, with a valid clone control), so nothing is unmeasured and the verdict is REJECT. This is attempt 1 of 3 (retry count 0), so the critic sends back a different ip_adapter_scale. Three gates failing together points to systematic drift from the style rather than a one-off seed artifact, and the orchestrator relays this to concept-designer."
wrong_13,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The global integrity floor, Gate 2 (attribute fidelity) and Gate 3 (briefed changes visible) all definitely failed, so this is a REJECT, and no gate is unmeasured. This is attempt 1 with 0 of 2 retries used, so the critic sends back an adjusted ip_adapter_scale. The failure spans several gates, including Gate 2 and Gate 3, so it does not look like a one-off seed artifact."
wrong_14,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitively failed, so the concept is rejected. Retries remain (0 of 2). Gates 1 and 1b passed, so the concept is not too close to the references. The integrity, attribute and briefed-change failures together point to a systematic drift from the reference style rather than a one-off sampling artifact, so the critic sends back an adjusted ip_adapter_scale (raised, to pull the image closer to the references) instead of a new seed."
wrong_14,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 (attribute fidelity) and Gate 3 (briefed changes visible) all failed, while Gates 1 and 1b passed. This pattern looks like the image drifting from the reference rather than a one-off seed artifact, so with 0 of 2 retries used the critic sends back an adjusted ip_adapter_scale, and the orchestrator relays it to concept-designer."
wrong_14,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitely failed, so this is a REJECT. No gate is unmeasured, since the clone control failed as required. This is attempt 1 with 0 of 2 retries used, so it goes back for a retry. Failing attribute fidelity and briefed changes together with the integrity floor is not a one-off sampling artifact, and no sibling-seed evidence is available, so the adjustment is ip_adapter_scale rather than seed."
wrong_15,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity, Gate 2 and Gate 3 all definitively failed (Gates 1 and 1b passed), so the concept is rejected. This is the first attempt with 2 retries left. Three gates failing together points to a systematic miss rather than a one-off sampling artifact, so the critic sends back an adjusted ip_adapter_scale via the orchestrator to concept-designer."
wrong_15,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The global integrity floor, Gate 2 and Gate 3 all failed (Gates 1 and 1b passed, and the clone control was valid), so this is a definite REJECT. Retries remain (0 of 2), and because attribute fidelity and briefed changes failed along with integrity, this looks systematic rather than a one-off seed artifact. The critic sends back an adjusted ip_adapter_scale via the orchestrator to concept-designer."
wrong_15,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity (global floor), Gate 2 and Gate 3 all definitely failed, while Gate 1 and Gate 1b passed and the clone control was valid, so this is a real REJECT. The failures are systematic (the image drifts from the reference style and the briefed changes are not visible), not a one-off sampling artifact, so with retry count 0 of 2 the critic sends back an adjusted ip_adapter_scale, and the orchestrator relays it to concept-designer."
wrong_16,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitely failed (pass: false), while Gates 1 and 1b passed and the clone control is valid, so nothing is unmeasured. Three gates failing together looks systematic rather than a one-off sampling artifact, so the critic sends back an adjusted ip_adapter_scale on retry 0 of 2, and the orchestrator relays it to concept-designer."
wrong_16,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitively failed (Gates 1 and 1b passed), so this is a REJECT. This is attempt 0 with retries remaining, so the critic sends back an adjusted ip_adapter_scale. The combined attribute-fidelity, briefed-change and integrity misses point to weak adherence to the references rather than a one-off seed artifact, so the orchestrator relays the retry to concept-designer."
wrong_16,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity floor, Gate 2 and Gate 3 all definitively failed (Gates 1 and 1b passed, and the clone control is valid). Nothing is unmeasured. This is attempt 1 of 3, so a retry remains. Failing fidelity and the briefed changes together with the integrity floor points to a systematic drift from the references rather than a one-off sampling artifact, so the critic sends back an adjusted ip_adapter_scale instead of a new seed."
wrong_17,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity (global floor), Gate 2 and Gate 3 all definitely failed, while Gate 1 and Gate 1b passed with a valid clone control, so the verdict is REJECT. This is attempt 0 with retries remaining. The concept is too far from the real references and lacks the style and briefed attributes. That is a systematic miss across several gates rather than a one-off sampling artifact, so the critic adjusts ip_adapter_scale and the orchestrator relays it to concept-designer."
wrong_17,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitely failed, so this is a REJECT and none of the gates is unmeasured (the clone control failed as required). This is attempt 0, so the retry budget remains. Failing attribute fidelity and briefed changes together with the integrity floor points to weak reference adherence rather than a one-off seed artifact, so the critic sends back a different ip_adapter_scale."
wrong_17,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The global integrity floor, Gate 2 and Gate 3 all definitely failed (Gates 1 and 1b passed, with the clone control valid). No gate is unmeasured, and this is attempt 1 of 3, so retries remain. The concept drifts from the reference style and its attributes and briefed changes aren't visible, which is a Gate 2/3 miss, so the critic sends back an adjusted ip_adapter_scale rather than a new seed. There is no evidence the integrity miss is a one-off seed artifact."
wrong_18,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitely failed, so the concept is rejected. This is attempt 1 with 2 retries left, so the critic sends back an adjusted ip_adapter_scale (the concept drifts from the reference and misses attributes and briefed changes, which is not a one-off seed artifact), and the orchestrator relays it to concept-designer."
wrong_18,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The global integrity floor, Gate 2 and Gate 3 all definitively failed, so this is a REJECT. Retry count is 0 of 2, so the orchestrator relays a retry to concept-designer. Gate 1 and Gate 1b pass, so the image is novel but too far from real references and missing attributes and briefed changes. That is a systematic miss rather than a one-off seed artifact, so the adjustment is ip_adapter_scale (raise it to pull closer to the references)."
wrong_18,N4_wrong_style,1,2,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The integrity floor, Gate 2 and Gate 3 all definitely failed, so this is a REJECT, and no gate is unmeasured (the clone control failed as required, so Gate 1b is validated). This is attempt 0 with retries remaining, so the critic sends back an adjusted ip_adapter_scale, since the miss spans fidelity, briefed changes and integrity rather than looking like a one-off seed artifact. The orchestrator relays it to concept-designer."
wrong_19,N4_wrong_style,1,0,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"Integrity (global floor), Gate 2 and Gate 3 all definitively failed, so this is a REJECT with no unmeasured gates. It is attempt 1 with retries remaining (0 of 2 used), so the critic sends back an adjusted ip_adapter_scale. The concept sits too far from the references and lacks the style's visible attributes and the briefed changes, which is a scale problem rather than a one-off seed artifact. Nothing here suggests a single-seed failure."
wrong_19,N4_wrong_style,1,1,true,REJECT,RETRY,concept-designer,ip_adapter_scale,REJECT,RETRY,concept-designer,ip_adapter_scale,true,true,true,true,"The global integrity floor, Gate 2 and Gate 3 all definitely failed, and every gate was measured (Gate 1b's clone control failed as required, so it is validated). This is attempt 1 of 3 with retries remaining, so the critic retries. The failures are systematic, not a one-seed integrity miss: the concept drifts from the style and lacks the visible and briefed attributes. That points to ip_adapter_scale, not seed. The human check stays pending for any later PASS."
